QTY,"CAT
PG#",CATEGORY / SKU,CASE QTY,ITEM DESCRIPTION,,,UPC,START DATE,AUTH PRICE,AUTH PLUS ,AUTH AMT,AUTH PLUS AMT,MAP,MSRP
,,COMBOS,,,,,,,  ,,  ,,  ,  
,36,DMAKG-A,1,MICRO GREEN DOT SIGHT W/ SPECIALLY DESIGNED AK TOP COVER MOUNT (MAKMD/DXGAB),,,814108019181,9/28/2012, $ 43.12 , $ 44.85 ,  ,  , $ 133.99 , $ 142.99 
,36,DMAKR-A,1,MICRO RED DOT SIGHT W/ SPECIALLY DESIGNED AK TOP COVER MOUNT (MAKMD/DDAB),,,814108019174,9/28/2012, $ 41.26 , $ 42.91 ,  ,  , $ 108.99 , $ 120.99 
,N/A,KAKSC430B-A,1,"AK COMBO/TRI-MOUNT/4X30 COMPACT SCOPE/1"" RINGS",,,848754005380,3/15/2016, $ 32.75 , $ 34.06 ,  ,  , $ 48.99 , $ 60.99 
,N/A,KAKSCRFS-A,1,"SIGHTS N' LIGHTS AK COMBO (MTAK, SC430B, RB11, ATFLB,) (PRESSURE SWITCH HAS BEEN REMOVED)",,,814108015886,9/17/2010, $ 65.22 , $ 67.83 ,  ,  , $ 108.99 , $ 55.99 
,34,KARDLFS-A,1,"SPECIAL OPERATIONS COMBO (MTRIF, DLB140R, ATFLB) (PRESSURE SWITCH HAS BEEN REMOVED)",,,814108015893,9/17/2010, $ 90.51 , $ 94.13 ,  ,  , $ 145.99 , $ 76.99 
,N/A,KARHD4RGB-A,1,AR COMBO/CARRY HANDLE ADAPTER/RED AND GREEN REFLEX SIGHT WITH 4 RETICLES,,,848754006387,8/8/2016, $ 33.47 , $ 34.82 ,  ,  , $ 60.99 , $ 72.99 
,N/A,KARHDBB130-A,1,AR COMBO/CARRY HANDLE ADAPTER/RED REFLEX SIGHT WITH INTEGRATED WEAVER STYLE MOUNT,,,848754006370,8/8/2016, $ 22.96 , $ 23.87 ,  ,  , $ 36.99 , $ 48.99 
,N/A,KARHSEECR3942R-A,1,AR COMBO/CARRY HANDLE ADAPTER/3-9X42 RUBBER COMPACT SCOPE/ILL. RETICLE/RINGS,,,848754006363,8/8/2016, $ 66.95 , $ 69.62 ,  ,  , $ 108.99 , $ 120.99 
,N/A,KSKSC430B-A,1,"SKS COMBO/TRI-MOUNT/4X30 COMPACT SCOPE/1"" RINGS",,,848754005397,3/29/2016, $ 40.60 , $ 42.23 ,  ,  , $ 48.99 , $ 60.99 
